Date,Open,High,Low,Close,Adj Close,Volume
2019-05-31,275.450012,279.959991,275.079987,278.200012,277.474182,533400
2019-06-03,278.410004,279.019989,273.809998,276.890015,276.167603,358700
2019-06-04,279.480011,285.119995,277.350006,284.980011,284.236481,436600
2019-06-05,286.000000,287.959991,283.130005,286.950012,286.201324,474300
2019-06-06,286.950012,291.480011,285.820007,289.709991,288.954102,328600
2019-06-07,290.510010,295.230011,290.510010,292.160004,291.397736,225300
2019-06-10,294.640015,298.510010,294.640015,297.079987,296.304871,351500
2019-06-11,298.920013,299.869995,293.920013,295.000000,294.230316,307200
2019-06-12,295.880005,301.540009,295.750000,301.489990,300.703369,427900
2019-06-13,303.140015,304.049988,294.420013,296.880005,296.105408,365000
2019-06-14,296.750000,297.869995,294.579987,296.329987,295.556854,345500
2019-06-17,297.040009,299.730011,294.529999,295.640015,294.868683,227700
2019-06-18,297.450012,301.329987,297.450012,300.399994,299.616241,264500
2019-06-19,300.029999,302.959991,299.140015,302.049988,301.261902,512700
2019-06-20,304.429993,305.380005,298.769989,301.260010,300.473999,534600
2019-06-21,298.489990,299.529999,296.190002,298.079987,297.302277,670000
2019-06-24,297.980011,299.160004,293.010010,293.329987,292.564667,791700
2019-06-25,298.100006,302.000000,283.230011,285.250000,284.505768,1469700
2019-06-26,285.000000,290.390015,284.369995,289.329987,288.575104,929700
2019-06-27,280.690002,285.980011,280.230011,285.410004,284.665344,989800
2019-06-28,286.670013,288.019989,281.720001,286.559998,285.812347,722500
2019-07-01,290.209991,290.209991,285.739990,286.739990,285.991852,315600
2019-07-02,286.179993,293.700012,285.720001,292.829987,292.065979,528000
2019-07-03,293.799988,296.160004,293.799988,296.059998,295.287567,313800
2019-07-05,296.359985,297.640015,292.239990,295.450012,294.679169,309000
2019-07-08,293.149994,293.500000,286.769989,289.709991,288.954102,366500
2019-07-09,289.350006,291.540009,287.910004,291.010010,290.250732,416500
2019-07-10,292.579987,293.489990,290.119995,291.480011,290.719513,483900
2019-07-11,292.549988,295.649994,291.829987,294.470001,293.701721,365300
2019-07-12,295.660004,296.600006,293.799988,296.519989,295.746338,292100
2019-07-15,295.980011,296.510010,293.130005,294.320007,293.552094,430200
2019-07-16,291.399994,291.399994,279.760010,283.059998,282.321472,525500
2019-07-17,282.179993,286.329987,282.130005,282.769989,282.032227,324600
2019-07-18,283.709991,286.250000,283.019989,285.600006,284.854858,259700
2019-07-19,285.940002,287.880005,279.559998,279.809998,279.079956,429500
2019-07-22,279.980011,283.130005,278.750000,280.790009,280.057404,330400
2019-07-23,282.230011,283.540009,276.709991,277.980011,277.254730,301900
2019-07-24,276.869995,278.869995,273.619995,278.869995,278.142395,490200
2019-07-25,278.869995,280.609985,277.079987,277.809998,277.085175,214300
2019-07-26,278.869995,283.890015,278.359985,283.559998,282.820160,246400
2019-07-29,283.779999,284.559998,280.790009,282.089996,281.354004,273500
2019-07-30,280.709991,281.730011,275.000000,276.420013,275.698822,336400
2019-07-31,276.429993,281.850006,276.429993,277.299988,276.576477,425600
2019-08-01,277.239990,282.399994,277.239990,279.429993,278.700928,317400
2019-08-02,279.609985,279.920013,275.760010,278.589996,277.863129,328800
2019-08-05,274.679993,275.779999,266.059998,269.869995,269.165894,529700
2019-08-06,270.500000,275.339996,270.500000,274.890015,274.172821,243800
2019-08-07,271.369995,276.369995,270.369995,274.660004,273.943390,338900
2019-08-08,277.679993,282.589996,275.869995,281.529999,280.795471,347600
2019-08-09,280.730011,281.570007,276.200012,278.299988,277.573883,195300
2019-08-12,276.410004,277.829987,273.369995,273.950012,273.235260,206800
2019-08-13,272.950012,280.799988,272.950012,279.239990,278.511444,421000
2019-08-14,275.079987,277.690002,268.619995,269.709991,269.006287,361600
2019-08-15,270.779999,274.429993,269.299988,272.149994,271.439941,265300
2019-08-16,274.559998,277.670013,273.989990,277.029999,276.307220,244700
2019-08-19,280.000000,280.940002,277.220001,277.429993,276.706146,208800
2019-08-20,276.480011,278.100006,273.140015,275.869995,275.150238,532500
2019-08-21,277.859985,280.010010,276.480011,277.660004,276.935577,219700
2019-08-22,279.000000,279.000000,274.820007,275.809998,275.090393,244300
2019-08-23,274.829987,277.230011,268.500000,269.609985,268.906555,249900
2019-08-26,271.640015,272.000000,268.750000,271.549988,270.841492,197000
2019-08-27,273.559998,274.690002,271.190002,273.730011,273.015839,252800
2019-08-28,272.920013,276.920013,272.000000,275.959991,275.239990,183300
2019-08-29,276.070007,277.390015,270.529999,270.839996,270.839996,269600
2019-08-30,272.109985,273.019989,269.309998,272.089996,272.089996,249400
